Doc_ID,Topic,Question_Example,Answer_Snippet
12,GiG Broker,What is GiG Broker?,"GiG Broker offers a list of data streams consisting of all data from the Player Account Management (PAM),  allowing partners to consume this data for their internal services."
13,GiG Broker,How is data consistency handled in GiG Broker?,"GiG Broker guarantees eventual consistency,  with GiG Data reconciling data with PAMs on working days and loading any missing data."
14,GiG Broker,What are enriched data streams?,"Enriched data streams from Core Data are pushed to their respective Kafka topics,  allowing consumers to retrieve this enriched data directly. The topics are named,  for example,  'enriched_customer_{{tenant_id}}_v1'."
29,GiG Broker,How can consumers access data from GiG Broker?,"Consumers authenticate to the service and can tap into necessary data types,  retrieving data from that time onwards or historically,  subject to retention limits. Data is streamed via Kafka topics specific to stream and tenant."
38,GiG Broker,What is the purpose of the CRM Payload in GiG Broker?,"The CRM Payload is a stream tailored for CRM that collects significant KPIs from other streams and exposes them in one payload,  providing the latest snapshot of a customer's KPIs for each event."
39,GiG Broker,What is an example of an enriched Kafka topic name for customer data?,An example Kafka topic name for enriched customer data is 'enriched_customer_{{tenant_id}}_v1'.
54,GiG Broker,How does GiG Broker handle data additions or changes to streams?,"Release Notes are provided via email for new streams or changes. GiG Data aims for compatible changes,  communicating any breaking changes beforehand."
55,GiG Broker,What is the process for backloading data if missed by a consumer?,"If data is within retention,  consumer offsets can be reset. If not published or outside retention,  GiG Data provides the data through internal processes."
65,GiG Broker,What is the typical data flow for enriched data streams in GiG Broker?,"Data from ClickHouse dwh-local tables goes through a stage_mv_kafka_enriched,  then to stage-kafka enriched_tables. Nifi consumes from enriched_topics,  routes by tenant,  and publishes to tenant-specific Kafka topics for 3rd party users."
70,GiG Broker,"What types of data streams are available via GiG Broker, apart from customer or game data?","Other streams include bonus types,  consent information,  currency rates,  country subdivisions,  KYC documents,  and tenant information."
1,GiG Data Segmentation,What is Value Segmentation at GiG?,"GiG's Value Segmentation builds cohorts of players based on purchasing patterns,  recency,  frequency,  and monetary value to identify ideal customers and improve or maintain their scores."
2,GiG Data Segmentation,How are players ranked in Value Segmentation?,"Players are ranked from 1 to 5 based on KPIs like Monthly Total Deposit,  Turnover,  NGR,  Bonus Turned Real,  and Active Days,  processed for the previous 1-month and 3-months activity."
3,GiG Data Segmentation,What are the segments in Value Segmentation?,"Segments include Very Low,  Low,  Medium,  High,  Very High,  No Segment,  and Not Enough Data,  based on an aggregated final score from KPI rankings."
4,GiG Data Segmentation,How often is Value Segmentation updated?,The Value Segmentation model updates monthly on the first day of each month.
